Date,Hour,Day,Holiday,Load,Load,t-3,Load,t-3,,t-3,t-2,t-3,t-2,t-2,t-1,t-2,t-1,t-1,t-1,H/o,H/o,h/o,W/o,,W/O,Month,d-1,month,d-1,d-1
8/1/2014,0,Friday,,28.5,0.091935484,28.5,01:00.1,0.091935484,2:0.091935484,02:00.1,34.3,00:00.1,0.110645161,03:00.1,32.6,00:00.1,0.10516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,28.5,7:01,0.091935484,08:00.1
,1,,,34.3,0.110645161,34.3,01:00.1,0.110645161,2:0.110645161,02:00.1,32.6,00:00.1,0.10516129,03:00.1,28.5,00:00.1,0.091935484,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,34.3,7:01,0.110645161,08:00.1
,2,,,32.6,0.10516129,32.6,01:00.1,0.10516129,2:0.10516129,02:00.1,28.5,00:00.1,0.091935484,03:00.1,34.3,00:00.1,0.110645161,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.6,7:01,0.10516129,08:00.1
,3,,,32.7,0.105483871,28.5,01:00.1,0.091935484,2:0.091935484,02:00.1,34.3,00:00.1,0.110645161,03:00.1,32.6,00:00.1,0.10516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.7,7:01,0.105483871,08:00.1
,4,,,32.8,0.105806452,34.3,01:00.1,0.110645161,2:0.110645161,02:00.1,32.6,00:00.1,0.10516129,03:00.1,32.7,00:00.1,0.105483871,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.8,7:01,0.105806452,08:00.1
,5,,,32.4,0.104516129,32.6,01:00.1,0.10516129,2:0.10516129,02:00.1,32.7,00:00.1,0.105483871,03:00.1,32.8,00:00.1,0.105806452,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.4,7:01,0.104516129,08:00.1
,6,,,39.9,0.128709677,32.7,01:00.1,0.105483871,2:0.105483871,02:00.1,32.8,00:00.1,0.105806452,03:00.1,32.4,00:00.1,0.104516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,39.9,7:01,0.128709677,08:00.1
,7,,,84.7,0.273225806,32.8,01:00.3,0.105806452,2:0.105806452,02:00.1,32.4,00:00.1,0.104516129,03:00.1,39.9,00:00.1,0.128709677,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,84.7,7:01,0.273225806,08:00.3
,8,,,110.3,0.355806452,32.4,01:00.4,0.104516129,2:0.104516129,02:00.1,39.9,00:00.1,0.128709677,03:00.1,84.7,00:00.1,0.273225806,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,110.3,7:01,0.355806452,08:00.4
,9,,,202.8,0.654193548,39.9,01:00.7,0.128709677,2:0.128709677,02:00.1,84.7,00:00.1,0.273225806,03:00.3,110.3,00:00.3,0.355806452,04:00.4,00:00.4,1,5:1,5:01,0,6:0,6:00,1,202.8,7:01,0.654193548,08:00.7
,10,,,226.4,0.730322581,84.7,01:00.7,0.273225806,2:0.273225806,02:00.3,110.3,00:00.3,0.355806452,03:00.4,202.8,00:00.4,0.654193548,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,226.4,7:01,0.730322581,08:00.7
,11,,,207.3,0.668709677,110.3,01:00.7,0.355806452,2:0.355806452,02:00.4,202.8,00:00.4,0.654193548,03:00.7,226.4,00:00.7,0.730322581,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,207.3,7:01,0.668709677,08:00.7
,12,,,221.8,0.715483871,202.8,01:00.7,0.654193548,2:0.654193548,02:00.7,226.4,00:00.7,0.730322581,03:00.7,207.3,00:00.7,0.668709677,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,221.8,7:01,0.715483871,08:00.7
,13,,,251.4,0.810967742,226.4,01:00.8,0.730322581,2:0.730322581,02:00.7,207.3,00:00.7,0.668709677,03:00.7,221.8,00:00.7,0.715483871,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,251.4,7:01,0.810967742,08:00.8
,14,,,280.3,0.904193548,207.3,01:00.9,0.668709677,2:0.668709677,02:00.7,221.8,00:00.7,0.715483871,03:00.7,251.4,00:00.7,0.810967742,04:00.8,00:00.8,1,5:1,5:01,1,6:1,6:01,1,280.3,7:01,0.904193548,08:00.9
,15,,,267.1,0.861612903,221.8,01:00.9,0.715483871,2:0.715483871,02:00.7,251.4,00:00.7,0.810967742,03:00.8,280.3,00:00.8,0.904193548,04:00.9,00:00.9,1,5:1,5:01,1,6:1,6:01,1,267.1,7:01,0.861612903,08:00.9
,16,,,242,0.780645161,251.4,01:00.8,0.810967742,2:0.810967742,02:00.8,280.3,00:00.8,0.904193548,03:00.9,267.1,00:00.9,0.861612903,04:00.9,00:00.9,1,5:1,5:01,1,6:1,6:01,1,242,7:01,0.780645161,08:00.8
,17,,,120,0.387096774,280.3,01:00.4,0.904193548,2:0.904193548,02:00.9,267.1,00:00.9,0.861612903,03:00.9,242,00:00.9,0.780645161,04:00.8,00:00.8,1,5:1,5:01,1,6:1,6:01,1,120,7:01,0.387096774,08:00.4
,18,,,80.7,0.260322581,267.1,01:00.3,0.861612903,2:0.861612903,02:00.9,242,00:00.9,0.780645161,03:00.8,120,00:00.8,0.387096774,04:00.4,00:00.4,1,5:1,5:01,0,6:0,6:00,1,80.7,7:01,0.260322581,08:00.3
,19,,,48.2,0.155483871,242,01:00.2,0.780645161,2:0.780645161,02:00.8,120,00:00.8,0.387096774,03:00.4,80.7,00:00.4,0.260322581,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,48.2,7:01,0.155483871,08:00.2
,20,,,38.5,0.124193548,120,01:00.1,0.387096774,2:0.387096774,02:00.4,80.7,00:00.4,0.260322581,03:00.3,48.2,00:00.3,0.155483871,04:00.2,00:00.2,1,5:1,5:01,0,6:0,6:00,1,38.5,7:01,0.124193548,08:00.1
,21,,,42.8,0.138064516,80.7,01:00.1,0.260322581,2:0.260322581,02:00.3,48.2,00:00.3,0.155483871,03:00.2,38.5,00:00.2,0.124193548,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,42.8,7:01,0.138064516,08:00.1
,22,,,41.5,0.133870968,48.2,01:00.1,0.155483871,2:0.155483871,02:00.2,38.5,00:00.2,0.124193548,03:00.1,42.8,00:00.1,0.138064516,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,41.5,7:01,0.133870968,08:00.1
,23,,,40.9,0.131935484,38.5,01:00.1,0.124193548,2:0.124193548,02:00.1,42.8,00:00.1,0.138064516,03:00.1,41.5,00:00.1,0.133870968,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,40.9,7:01,0.131935484,08:00.1
8/2/2014,0,Saturday,,33,0.106451613,42.8,01:00.1,0.138064516,2:0.138064516,02:00.1,41.5,00:00.1,0.133870968,03:00.1,40.9,00:00.1,0.131935484,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,28.5,7:01,0.091935484,08:00.1
,1,,,34.2,0.110322581,41.5,01:00.1,0.133870968,2:0.133870968,02:00.1,40.9,00:00.1,0.131935484,03:00.1,33,00:00.1,0.106451613,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,34.3,7:01,0.110645161,08:00.1
,2,,,31.1,0.100322581,40.9,01:00.1,0.131935484,2:0.131935484,02:00.1,33,00:00.1,0.106451613,03:00.1,34.2,00:00.1,0.110322581,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.6,7:01,0.10516129,08:00.1
,3,,,36,0.116129032,33,01:00.1,0.106451613,2:0.106451613,02:00.1,34.2,00:00.1,0.110322581,03:00.1,31.1,00:00.1,0.100322581,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.7,7:01,0.105483871,08:00.1
,4,,,31.1,0.100322581,34.2,01:00.1,0.110322581,2:0.110322581,02:00.1,31.1,00:00.1,0.100322581,03:00.1,36,00:00.1,0.116129032,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.8,7:01,0.105806452,08:00.1
,5,,,28.9,0.093225806,31.1,01:00.1,0.100322581,2:0.100322581,02:00.1,36,00:00.1,0.116129032,03:00.1,31.1,00:00.1,0.100322581,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.4,7:01,0.104516129,08:00.1
,6,,,53.6,0.172903226,36,01:00.2,0.116129032,2:0.116129032,02:00.1,31.1,00:00.1,0.100322581,03:00.1,28.9,00:00.1,0.093225806,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,39.9,7:01,0.128709677,08:00.1
,7,,,86.7,0.279677419,31.1,01:00.3,0.100322581,2:0.100322581,02:00.1,28.9,00:00.1,0.093225806,03:00.1,53.6,00:00.1,0.172903226,04:00.2,00:00.2,1,5:1,5:01,0,6:0,6:00,1,84.7,7:01,0.273225806,08:00.3
,8,,,114.4,0.369032258,28.9,01:00.4,0.093225806,2:0.093225806,02:00.1,53.6,00:00.1,0.172903226,03:00.2,86.7,00:00.2,0.279677419,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,110.3,7:01,0.355806452,08:00.4
,9,,,131.3,0.423548387,53.6,01:00.4,0.172903226,2:0.172903226,02:00.2,86.7,00:00.2,0.279677419,03:00.3,114.4,00:00.3,0.369032258,04:00.4,00:00.4,1,5:1,5:01,0,6:0,6:00,1,202.8,7:01,0.654193548,08:00.7
,10,,,153.1,0.493870968,86.7,01:00.5,0.279677419,2:0.279677419,02:00.3,114.4,00:00.3,0.369032258,03:00.4,131.3,00:00.4,0.423548387,04:00.4,00:00.4,1,5:1,5:01,1,6:1,6:01,1,226.4,7:01,0.730322581,08:00.7
,11,,,185.6,0.598709677,114.4,01:00.6,0.369032258,2:0.369032258,02:00.4,131.3,00:00.4,0.423548387,03:00.4,153.1,00:00.4,0.493870968,04:00.5,00:00.5,1,5:1,5:01,1,6:1,6:01,1,207.3,7:01,0.668709677,08:00.7
,12,,,241.6,0.779354839,131.3,01:00.8,0.423548387,2:0.423548387,02:00.4,153.1,00:00.4,0.493870968,03:00.5,185.6,00:00.5,0.598709677,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,221.8,7:01,0.715483871,08:00.7
,13,,,205.7,0.663548387,153.1,01:00.7,0.493870968,2:0.493870968,02:00.5,185.6,00:00.5,0.598709677,03:00.6,241.6,00:00.6,0.779354839,04:00.8,00:00.8,1,5:1,5:01,1,6:1,6:01,1,251.4,7:01,0.810967742,08:00.8
,14,,,211.5,0.682258065,185.6,01:00.7,0.598709677,2:0.598709677,02:00.6,241.6,00:00.6,0.779354839,03:00.8,205.7,00:00.8,0.663548387,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,280.3,7:01,0.904193548,08:00.9
,15,,,217.8,0.702580645,241.6,01:00.7,0.779354839,2:0.779354839,02:00.8,205.7,00:00.8,0.663548387,03:00.7,211.5,00:00.7,0.682258065,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,267.1,7:01,0.861612903,08:00.9
,16,,,188.4,0.607741935,205.7,01:00.6,0.663548387,2:0.663548387,02:00.7,211.5,00:00.7,0.682258065,03:00.7,217.8,00:00.7,0.702580645,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,242,7:01,0.780645161,08:00.8
,17,,,114.9,0.370645161,211.5,01:00.4,0.682258065,2:0.682258065,02:00.7,217.8,00:00.7,0.702580645,03:00.7,188.4,00:00.7,0.607741935,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,120,7:01,0.387096774,08:00.4
,18,,,77.8,0.250967742,217.8,01:00.3,0.702580645,2:0.702580645,02:00.7,188.4,00:00.7,0.607741935,03:00.6,114.9,00:00.6,0.370645161,04:00.4,00:00.4,1,5:1,5:01,0,6:0,6:00,1,80.7,7:01,0.260322581,08:00.3
,19,,,46.8,0.150967742,188.4,01:00.2,0.607741935,2:0.607741935,02:00.6,114.9,00:00.6,0.370645161,03:00.4,77.8,00:00.4,0.250967742,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,48.2,7:01,0.155483871,08:00.2
,20,,,32.4,0.104516129,114.9,01:00.1,0.370645161,2:0.370645161,02:00.4,77.8,00:00.4,0.250967742,03:00.3,46.8,00:00.3,0.150967742,04:00.2,00:00.2,1,5:1,5:01,0,6:0,6:00,1,38.5,7:01,0.124193548,08:00.1
,21,,,35.5,0.114516129,77.8,01:00.1,0.250967742,2:0.250967742,02:00.3,46.8,00:00.3,0.150967742,03:00.2,32.4,00:00.2,0.104516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,42.8,7:01,0.138064516,08:00.1
,22,,,43.1,0.139032258,46.8,01:00.1,0.150967742,2:0.150967742,02:00.2,32.4,00:00.2,0.104516129,03:00.1,35.5,00:00.1,0.114516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,41.5,7:01,0.133870968,08:00.1
,23,,,42,0.135483871,32.4,01:00.1,0.104516129,2:0.104516129,02:00.1,35.5,00:00.1,0.114516129,03:00.1,43.1,00:00.1,0.139032258,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,40.9,7:01,0.131935484,08:00.1
8/3/2014,0,Sunday ,sunday,34.3,0.110645161,35.5,01:00.1,0.114516129,2:0.114516129,02:00.1,43.1,00:00.1,0.139032258,03:00.1,42,00:00.1,0.135483871,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,33,7:01,0.106451613,08:00.1
,1,,,42.6,0.137419355,43.1,01:00.1,0.139032258,2:0.139032258,02:00.1,42,00:00.1,0.135483871,03:00.1,34.3,00:00.1,0.110645161,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,34.2,7:01,0.110322581,08:00.1
,2,,,37.9,0.122258065,42,01:00.1,0.135483871,2:0.135483871,02:00.1,34.3,00:00.1,0.110645161,03:00.1,42.6,00:00.1,0.137419355,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,31.1,7:01,0.100322581,08:00.1
,3,,,39.2,0.126451613,34.3,01:00.1,0.110645161,2:0.110645161,02:00.1,42.6,00:00.1,0.137419355,03:00.1,37.9,00:00.1,0.122258065,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,36,7:01,0.116129032,08:00.1
,4,,,34.8,0.112258065,42.6,01:00.1,0.137419355,2:0.137419355,02:00.1,37.9,00:00.1,0.122258065,03:00.1,39.2,00:00.1,0.126451613,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,31.1,7:01,0.100322581,08:00.1
,5,,,33.3,0.107419355,37.9,01:00.1,0.122258065,2:0.122258065,02:00.1,39.2,00:00.1,0.126451613,03:00.1,34.8,00:00.1,0.112258065,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,28.9,7:01,0.093225806,08:00.1
,6,,,34.3,0.110645161,39.2,01:00.1,0.126451613,2:0.126451613,02:00.1,34.8,00:00.1,0.112258065,03:00.1,33.3,00:00.1,0.107419355,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,53.6,7:01,0.172903226,08:00.2
,7,,,39.9,0.128709677,34.8,01:00.1,0.112258065,2:0.112258065,02:00.1,33.3,00:00.1,0.107419355,03:00.1,34.3,00:00.1,0.110645161,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,86.7,7:01,0.279677419,08:00.3
,8,,,41.3,0.133225806,33.3,01:00.1,0.107419355,2:0.107419355,02:00.1,34.3,00:00.1,0.110645161,03:00.1,39.9,00:00.1,0.128709677,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,114.4,7:01,0.369032258,08:00.4
,9,,,45.7,0.147419355,34.3,01:00.1,0.110645161,2:0.110645161,02:00.1,39.9,00:00.1,0.128709677,03:00.1,41.3,00:00.1,0.133225806,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,131.3,7:01,0.423548387,08:00.4
,10,,,48.8,0.157419355,39.9,01:00.2,0.128709677,2:0.128709677,02:00.1,41.3,00:00.1,0.133225806,03:00.1,45.7,00:00.1,0.147419355,04:00.1,00:00.1,0,5:0,5:00,1,6:1,6:01,1,153.1,7:01,0.493870968,08:00.5
,11,,,59.5,0.191935484,41.3,01:00.2,0.133225806,2:0.133225806,02:00.1,45.7,00:00.1,0.147419355,03:00.1,48.8,00:00.1,0.157419355,04:00.2,00:00.2,0,5:0,5:00,1,6:1,6:01,1,185.6,7:01,0.598709677,08:00.6
,12,,,59.6,0.192258065,45.7,01:00.2,0.147419355,2:0.147419355,02:00.1,48.8,00:00.1,0.157419355,03:00.2,59.5,00:00.2,0.191935484,04:00.2,00:00.2,0,5:0,5:00,1,6:1,6:01,1,241.6,7:01,0.779354839,08:00.8
,13,,,52.7,0.17,48.8,01:00.2,0.157419355,2:0.157419355,02:00.2,59.5,00:00.2,0.191935484,03:00.2,59.6,00:00.2,0.192258065,04:00.2,00:00.2,0,5:0,5:00,1,6:1,6:01,1,205.7,7:01,0.663548387,08:00.7
,14,,,43.2,0.139354839,59.5,01:00.1,0.191935484,2:0.191935484,02:00.2,59.6,00:00.2,0.192258065,03:00.2,52.7,00:00.2,0.17,04:00.2,04:00.2,0,5:0,5:00,1,6:1,6:01,1,211.5,7:01,0.682258065,08:00.7
,15,,,40.2,0.129677419,59.6,01:00.1,0.192258065,2:0.192258065,02:00.2,52.7,00:00.2,0.17,03:00.2,43.2,03:00.2,0.139354839,04:00.1,00:00.1,0,5:0,5:00,1,6:1,6:01,1,217.8,7:01,0.702580645,08:00.7
,16,,,31.3,0.100967742,52.7,01:00.1,0.17,2:0.17,02:00.2,43.2,02:00.2,0.139354839,03:00.1,40.2,00:00.1,0.129677419,04:00.1,00:00.1,0,5:0,5:00,1,6:1,6:01,1,188.4,7:01,0.607741935,08:00.6
,17,,,30.9,0.099677419,43.2,01:00.1,0.139354839,2:0.139354839,02:00.1,40.2,00:00.1,0.129677419,03:00.1,31.3,00:00.1,0.100967742,04:00.1,00:00.1,0,5:0,5:00,1,6:1,6:01,1,114.9,7:01,0.370645161,08:00.4
,18,,,26.3,0.08483871,40.2,01:00.1,0.129677419,2:0.129677419,02:00.1,31.3,00:00.1,0.100967742,03:00.1,30.9,00:00.1,0.099677419,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,77.8,7:01,0.250967742,08:00.3
,19,,,37.2,0.12,31.3,01:00.1,0.100967742,2:0.100967742,02:00.1,30.9,00:00.1,0.099677419,03:00.1,26.3,00:00.1,0.08483871,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,46.8,7:01,0.150967742,08:00.2
,20,,,32.2,0.103870968,30.9,01:00.1,0.099677419,2:0.099677419,02:00.1,26.3,00:00.1,0.08483871,03:00.1,37.2,00:00.1,0.12,04:00.1,04:00.1,0,5:0,5:00,0,6:0,6:00,1,32.4,7:01,0.104516129,08:00.1
,21,,,37.2,0.12,26.3,01:00.1,0.08483871,2:0.08483871,02:00.1,37.2,00:00.1,0.12,03:00.1,32.2,03:00.1,0.103870968,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,35.5,7:01,0.114516129,08:00.1
,22,,,40.8,0.131612903,37.2,01:00.1,0.12,2:0.12,02:00.1,32.2,02:00.1,0.103870968,03:00.1,37.2,00:00.1,0.12,04:00.1,04:00.1,0,5:0,5:00,0,6:0,6:00,1,43.1,7:01,0.139032258,08:00.1
,23,,,38.9,0.125483871,32.2,01:00.1,0.103870968,2:0.103870968,02:00.1,37.2,00:00.1,0.12,03:00.1,40.8,03:00.1,0.131612903,04:00.1,00:00.1,0,5:0,5:00,0,6:0,6:00,1,42,7:01,0.135483871,08:00.1
8/4/2014,0,Monday,,33.1,0.106774194,37.2,01:00.1,0.12,2:0.12,02:00.1,40.8,02:00.1,0.131612903,03:00.1,38.9,00:00.1,0.125483871,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,34.3,7:01,0.110645161,08:00.1
,1,,,39.9,0.128709677,40.8,01:00.1,0.131612903,2:0.131612903,02:00.1,38.9,00:00.1,0.125483871,03:00.1,33.1,00:00.1,0.106774194,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,42.6,7:01,0.137419355,08:00.1
,2,,,40.6,0.130967742,38.9,01:00.1,0.125483871,2:0.125483871,02:00.1,33.1,00:00.1,0.106774194,03:00.1,39.9,00:00.1,0.128709677,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,37.9,7:01,0.122258065,08:00.1
,3,,,32.7,0.105483871,33.1,01:00.1,0.106774194,2:0.106774194,02:00.1,39.9,00:00.1,0.128709677,03:00.1,40.6,00:00.1,0.130967742,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,39.2,7:01,0.126451613,08:00.1
,4,,,33.4,0.107741935,39.9,01:00.1,0.128709677,2:0.128709677,02:00.1,40.6,00:00.1,0.130967742,03:00.1,32.7,00:00.1,0.105483871,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,34.8,7:01,0.112258065,08:00.1
,5,,,27.4,0.088387097,40.6,01:00.1,0.130967742,2:0.130967742,02:00.1,32.7,00:00.1,0.105483871,03:00.1,33.4,00:00.1,0.107741935,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,33.3,7:01,0.107419355,08:00.1
,6,,,42.1,0.135806452,32.7,01:00.1,0.105483871,2:0.105483871,02:00.1,33.4,00:00.1,0.107741935,03:00.1,27.4,00:00.1,0.088387097,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,34.3,7:01,0.110645161,08:00.1
,7,,,81.1,0.261612903,33.4,01:00.3,0.107741935,2:0.107741935,02:00.1,27.4,00:00.1,0.088387097,03:00.1,42.1,00:00.1,0.135806452,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,39.9,7:01,0.128709677,08:00.1
,8,,,101.6,0.327741935,27.4,01:00.3,0.088387097,2:0.088387097,02:00.1,42.1,00:00.1,0.135806452,03:00.1,81.1,00:00.1,0.261612903,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,41.3,7:01,0.133225806,08:00.1
,9,,,148.8,0.48,42.1,01:00.5,0.135806452,2:0.135806452,02:00.1,81.1,00:00.1,0.261612903,03:00.3,101.6,00:00.3,0.327741935,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,45.7,7:01,0.147419355,08:00.1
,10,,,196.5,0.633870968,81.1,01:00.6,0.261612903,2:0.261612903,02:00.3,101.6,00:00.3,0.327741935,03:00.3,148.8,00:00.3,0.48,04:00.5,04:00.5,1,5:1,5:01,1,6:1,6:01,1,48.8,7:01,0.157419355,08:00.2
,11,,,190.9,0.615806452,101.6,01:00.6,0.327741935,2:0.327741935,02:00.3,148.8,00:00.3,0.48,03:00.5,196.5,03:00.5,0.633870968,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,59.5,7:01,0.191935484,08:00.2
,12,,,171.4,0.552903226,148.8,01:00.6,0.48,2:0.48,02:00.5,196.5,02:00.5,0.633870968,03:00.6,190.9,00:00.6,0.615806452,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,59.6,7:01,0.192258065,08:00.2
,13,,,171.6,0.553548387,196.5,01:00.6,0.633870968,2:0.633870968,02:00.6,190.9,00:00.6,0.615806452,03:00.6,171.4,00:00.6,0.552903226,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,52.7,7:01,0.17,08:00.2
,14,,,153.2,0.494193548,190.9,01:00.5,0.615806452,2:0.615806452,02:00.6,171.4,00:00.6,0.552903226,03:00.6,171.6,00:00.6,0.553548387,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,43.2,7:01,0.139354839,08:00.1
,15,,,180.6,0.582580645,171.4,01:00.6,0.552903226,2:0.552903226,02:00.6,171.6,00:00.6,0.553548387,03:00.6,153.2,00:00.6,0.494193548,04:00.5,00:00.5,1,5:1,5:01,1,6:1,6:01,1,40.2,7:01,0.129677419,08:00.1
,16,,,160.4,0.517419355,171.6,01:00.5,0.553548387,2:0.553548387,02:00.6,153.2,00:00.6,0.494193548,03:00.5,180.6,00:00.5,0.582580645,04:00.6,00:00.6,1,5:1,5:01,1,6:1,6:01,1,31.3,7:01,0.100967742,08:00.1
,17,,,85.9,0.277096774,153.2,01:00.3,0.494193548,2:0.494193548,02:00.5,180.6,00:00.5,0.582580645,03:00.6,160.4,00:00.6,0.517419355,04:00.5,00:00.5,1,5:1,5:01,1,6:1,6:01,1,30.9,7:01,0.099677419,08:00.1
,18,,,71,0.229032258,180.6,01:00.2,0.582580645,2:0.582580645,02:00.6,160.4,00:00.6,0.517419355,03:00.5,85.9,00:00.5,0.277096774,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,26.3,7:01,0.08483871,08:00.1
,19,,,40.9,0.131935484,160.4,01:00.1,0.517419355,2:0.517419355,02:00.5,85.9,00:00.5,0.277096774,03:00.3,71,00:00.3,0.229032258,04:00.2,00:00.2,1,5:1,5:01,0,6:0,6:00,1,37.2,7:01,0.12,08:00.1
,20,,,40.7,0.131290323,85.9,01:00.1,0.277096774,2:0.277096774,02:00.3,71,00:00.3,0.229032258,03:00.2,40.9,00:00.2,0.131935484,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.2,7:01,0.103870968,08:00.1
,21,,,34.2,0.110322581,71,01:00.1,0.229032258,2:0.229032258,02:00.2,40.9,00:00.2,0.131935484,03:00.1,40.7,00:00.1,0.131290323,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,37.2,7:01,0.12,08:00.1
,22,,,44.5,0.143548387,40.9,01:00.1,0.131935484,2:0.131935484,02:00.1,40.7,00:00.1,0.131290323,03:00.1,34.2,00:00.1,0.110322581,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,40.8,7:01,0.131612903,08:00.1
,23,,,40.6,0.130967742,40.7,01:00.1,0.131290323,2:0.131290323,02:00.1,34.2,00:00.1,0.110322581,03:00.1,44.5,00:00.1,0.143548387,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,38.9,7:01,0.125483871,08:00.1
8/5/2014,0,Tuesday,,34.6,0.111612903,34.2,01:00.1,0.110322581,2:0.110322581,02:00.1,44.5,00:00.1,0.143548387,03:00.1,40.6,00:00.1,0.130967742,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,33.1,7:01,0.106774194,08:00.1
,1,,,36.3,0.117096774,44.5,01:00.1,0.143548387,2:0.143548387,02:00.1,40.6,00:00.1,0.130967742,03:00.1,34.6,00:00.1,0.111612903,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,39.9,7:01,0.128709677,08:00.1
,2,,,33.1,0.106774194,40.6,01:00.1,0.130967742,2:0.130967742,02:00.1,34.6,00:00.1,0.111612903,03:00.1,36.3,00:00.1,0.117096774,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,40.6,7:01,0.130967742,08:00.1
,3,,,34.1,0.11,34.6,01:00.1,0.111612903,2:0.111612903,02:00.1,36.3,00:00.1,0.117096774,03:00.1,33.1,00:00.1,0.106774194,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.7,7:01,0.105483871,08:00.1
,4,,,20.3,0.065483871,36.3,01:00.1,0.117096774,2:0.117096774,02:00.1,33.1,00:00.1,0.106774194,03:00.1,34.1,00:00.1,0.11,04:00.1,04:00.1,1,5:1,5:01,0,6:0,6:00,1,33.4,7:01,0.107741935,08:00.1
